,Drive Time,System Rating (kW DC),Roof Type,Tilt 1,Portrait / Landscape,Consumption Monitoring,Module Width,Inverter Manufacturer,Rough Electrical Inspection,Azimuth 1,Total Direct Time for Project for Hourly Employees (Including Drive Time),Install Season,Total # of Hourly Employees on Site,Azimuth 3,Squirrel Screen,# of Arrays,Module Weight,Reinforcements,Interconnection Type,Module Length,Truss / Rafter,Estimated Total # of People on Site,# of Reinforcement,Tilt 2,Panel QTY,Azimuth 2,Array Type,# of Stories,Attachment Type
209,1740,4.8,0,25.0,0,False,40.9,1.0,True,180.0,173700,1,5.0,,True,1.0,48.0,False,1,74.8,0,5.0,0.0,,12.0,,0,1.0,3
210,1380,9.6,0,27.0,0,False,40.9,1.0,False,267.0,131400,1,5.0,,True,1.0,48.0,False,1,74.8,0,5.0,0.0,,24.0,,0,2.0,3
211,480,6.72,0,33.7,0,False,40.9,1.0,True,260.0,161100,1,5.0,,True,3.0,47.8,False,1,73.4,1,5.0,0.0,,16.0,,0,2.0,3
212,540,7.82,0,27.0,2,True,47.4,1.0,True,182.0,171000,1,5.0,,True,3.0,50.0,False,1,68.0,0,5.0,0.0,,17.0,,0,2.0,3
213,2760,10.92,0,33.0,0,False,40.9,1.0,False,247.0,325800,1,5.0,67.0,True,3.0,47.8,True,1,73.4,1,5.0,17.0,37.0,26.0,157.0,0,2.0,2
214,780,14.4,0,18.4,0,False,40.9,1.0,False,178.5,265500,1,5.0,,True,2.0,48.0,False,1,74.8,0,5.0,0.0,9.4,36.0,,0,2.0,3
215,480,5.6,0,45.0,0,True,40.9,1.0,True,180.0,126000,1,4.0,,True,1.0,48.0,False,1,74.8,0,4.0,0.0,,14.0,,0,1.0,3
216,240,4.8,0,27.0,0,False,40.9,1.0,True,226.0,144000,1,5.0,,True,1.0,48.0,False,1,74.8,0,5.0,0.0,,12.0,,0,2.0,3
217,2280,5.2,0,26.0,0,False,40.9,1.0,False,168.0,131400,1,5.0,,True,1.0,48.0,False,4,74.8,0,5.0,0.0,,13.0,,0,1.0,3
218,1620,7.36,0,33.7,2,True,47.4,1.0,True,175.0,160200,1,5.0,,True,1.0,50.0,False,1,68.0,0,5.0,0.0,,16.0,,0,2.0,3
219,1680,7.2,0,18.0,0,True,40.9,1.0,True,260.0,119700,1,4.0,,True,1.0,48.0,False,1,74.8,1,4.0,0.0,,18.0,,0,1.0,3
220,2460,13.53,2,18.4,1,False,44.65,1.0,False,84.0,281700,1,5.0,,False,1.0,47.0,False,5,69.37,2,5.0,0.0,,33.0,,0,1.0,4
221,1380,3.6,0,18.4,1,False,40.9,1.0,True,189.4,144900,1,5.0,,True,1.0,48.0,False,1,74.8,0,5.0,0.0,,9.0,,0,2.0,3
222,1740,10.92,0,30.0,0,True,40.9,1.0,False,148.0,195300,1,5.0,,True,2.0,47.8,False,1,73.4,0,5.0,0.0,,26.0,,0,2.0,3
223,1200,12.8,0,33.0,0,True,40.9,1.0,False,134.0,250200,1,5.0,,True,2.0,48.0,False,8,74.8,0,5.0,0.0,40.0,32.0,223.0,0,1.0,3
